Season,Team,Rank,Points,Strength_Rank_Based,Pythagorean_Exp,Avg_Goals_Scored,Avg_Goals_Conceded,Home_Dependency
2019-2020,St Etienne,17,30,0.19047619047619047,0.293440334961619,1.0357142857142858,1.6071428571428572,0.6
2019-2020,Nimes,18,27,0.1428571428571429,0.30284479654303204,1.0357142857142858,1.5714285714285714,0.7407407407407407
2019-2020,Amiens,19,23,0.09523809523809523,0.277665414620052,1.1071428571428572,1.7857142857142858,0.6086956521739131
2019-2020,Toulouse,20,13,0.04761904761904767,0.1257796257796258,0.7857142857142857,2.0714285714285716,0.6923076923076923
2020-2021,Lille,1,83,0.9523809523809523,0.8856216216216216,1.6842105263157894,0.6052631578947368,0.4457831325301205
2020-2021,Paris SG,2,82,0.9047619047619048,0.9041564792176039,2.263157894736842,0.7368421052631579,0.4878048780487805
2020-2021,Monaco,3,78,0.8571428571428572,0.7660477453580902,2.0,1.105263157894737,0.5256410256410257
2020-2021,Lyon,4,76,0.8095238095238095,0.7801426872770512,2.1315789473684212,1.131578947368421,0.47368421052631576
2020-2021,Marseille,5,60,0.7619047619047619,0.5689756097560975,1.4210526315789473,1.236842105263158,0.5833333333333334
2020-2021,Rennes,6,58,0.7142857142857143,0.6282527881040892,1.368421052631579,1.0526315789473684,0.5344827586206896
2020-2021,Lens,7,57,0.6666666666666667,0.5091735398081131,1.4473684210526316,1.4210526315789473,0.49122807017543857
2020-2021,Montpellier,8,54,0.6190476190476191,0.4836109618484686,1.5789473684210527,1.631578947368421,0.46296296296296297
2020-2021,Nice,9,52,0.5714285714285714,0.4708984742889433,1.3157894736842106,1.394736842105263,0.46153846153846156
2020-2021,Metz,10,47,0.5238095238095238,0.45660377358490567,1.1578947368421053,1.263157894736842,0.425531914893617
2020-2021,St Etienne,11,46,0.47619047619047616,0.3769230769230769,1.105263157894737,1.4210526315789473,0.45652173913043476
2020-2021,Bordeaux,12,45,0.4285714285714286,0.36,1.105263157894737,1.4736842105263157,0.5555555555555556
2020-2021,Angers,13,44,0.38095238095238093,0.32232070910556004,1.0526315789473684,1.5263157894736843,0.4772727272727273
2020-2021,Lorient,14,42,0.33333333333333337,0.35092644581695676,1.3157894736842106,1.7894736842105263,0.7619047619047619
2020-2021,Reims,15,42,0.2857142857142857,0.41369606003752346,1.105263157894737,1.3157894736842106,0.47619047619047616
2020-2021,Strasbourg,16,42,0.23809523809523814,0.41647875108412835,1.2894736842105263,1.5263157894736843,0.40476190476190477
2020-2021,Brest,17,41,0.19047619047619047,0.3646441073512252,1.3157894736842106,1.736842105263158,0.6829268292682927
2020-2021,Nantes,18,40,0.1428571428571429,0.42204814673290025,1.236842105263158,1.4473684210526316,0.425
2020-2021,Nimes,19,35,0.09523809523809523,0.24092757114892335,1.0526315789473684,1.868421052631579,0.4
2020-2021,Dijon,20,21,0.04761904761904767,0.10497144776620759,0.6578947368421053,1.9210526315789473,0.42857142857142855
2021-2022,Paris SG,1,86,0.9523809523809523,0.8620689655172413,2.3684210526315788,0.9473684210526315,0.5930232558139535
2021-2022,Marseille,2,71,0.9047619047619048,0.7332348050988361,1.6578947368421053,1.0,0.4507042253521127
2021-2022,Monaco,3,69,0.8571428571428572,0.7253218884120172,1.7105263157894737,1.0526315789473684,0.5797101449275363
2021-2022,Nice,4,67,0.8095238095238095,0.676,1.368421052631579,0.9473684210526315,0.5074626865671642
2021-2022,Rennes,5,66,0.7619047619047619,0.8077847188851514,2.1578947368421053,1.0526315789473684,0.6515151515151515
2021-2022,Strasbourg,6,63,0.7142857142857143,0.6606716828775923,1.5789473684210527,1.131578947368421,0.6031746031746031
2021-2022,Lens,7,62,0.6666666666666667,0.6252439817826936,1.631578947368421,1.263157894736842,0.5483870967741935
2021-2022,Lyon,8,62,0.6190476190476191,0.6261319534282018,1.736842105263158,1.3421052631578947,0.6129032258064516
2021-2022,Lille,9,55,0.5714285714285714,0.5,1.263157894736842,1.263157894736842,0.5272727272727272
2021-2022,Nantes,10,55,0.5238095238095238,0.5676487145805967,1.4473684210526316,1.263157894736842,0.6727272727272727
2021-2022,Brest,11,48,0.47619047619047616,0.4249557522123894,1.2894736842105263,1.5,0.5208333333333334
2021-2022,Reims,12,46,0.4285714285714286,0.4885072655217966,1.131578947368421,1.1578947368421053,0.45652173913043476
2021-2022,Montpellier,13,43,0.38095238095238093,0.3921920940868997,1.2894736842105263,1.605263157894737,0.6046511627906976
2021-2022,Angers,14,41,0.33333333333333337,0.3902439024390244,1.1578947368421053,1.4473684210526316,0.6341463414634146
2021-2022,Troyes,15,38,0.2857142857142857,0.32766874102441357,0.9736842105263158,1.394736842105263,0.5789473684210527
2021-2022,Clermont,16,36,0.23809523809523814,0.23271555197421434,1.0,1.8157894736842106,0.5
2021-2022,Lorient,17,36,0.19047619047619047,0.2358490566037736,0.9210526315789473,1.6578947368421053,0.6666666666666666
